日期,類型,分類,金額,帳戶,備註,支付方式
2025-12-22,收入,其他,3000.00,中國信託,生活費,-
2025-12-22,收入,薪資,600.00,中國信託,-,-
2025-12-22,收入,薪資,600.00,中國信託,-,-
2025-12-22,收入,薪資,100.00,中國信託,-,-
2025-12-22,收入,薪資,600.00,中國信託,-,-
2025-12-22,收入,薪資,600.00,中國信託,-,-
2025-12-22,收入,薪資,100.00,中國信託,-,-
2025-12-22,支出,餐飲,160.00,中國信託,晚餐,LINE Pay
2025-12-22,支出,餐飲,105.00,中國信託,早餐,LINE Pay
2025-12-22,支出,餐飲,100.00,中國信託,-,LINE Pay
2025-12-22,支出,餐飲,200.00,中國信託,-,LINE Pay
2025-12-22,支出,餐飲,100.00,中國信託,-,現金
2025-12-22,支出,餐飲,1000.00,中國信託,-,LINE Pay
2025-12-22,支出,餐飲,100.00,中國信託,-,現金
2025-12-22,支出,餐飲,100.00,中國信託,-,現金
2025-12-22,支出,餐飲,2000.00,中國信託,-,現金
2025-12-22,支出,餐飲,200.00,中國信託,-,現金
2025-12-22,支出,餐飲,20.00,中國信託,-,現金
